,isExoplanet,loc_rowid,toi,tid,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad
0,F,0.0,0.12149334921891533,0.02559548386528984,0.31237033938246433,0.44197591113147283,1.0,0.014995715509853628,1.0,1.0,0.012594316814536962,1.0,0.5249414421729921,0.020542540836490653,1.0,1.0,0.02119108223950313,1.0,0.11191141532585315,0.12126112554085973,1.0,0.0036872549475008326,0.0015845959591956195,1.0,0.10781772647494915,0.1277577012094505,0.5612788036409434,0.47619500390770153,0.021821380252658014,1.0,0.06499082379050801,1.0,1.0,0.7017404218703365,0.04158352477477518,1.0,1.0,0.23503458055831272
2828,F,0.36757910684516,0.450701134199202,0.06724712207204983,0.3318674876619004,0.29072203259215224,1.0,0.008354755784061306,1.0,1.0,0.008995940581812117,1.0,0.544050929076455,0.03627645780222,1.0,1.0,0.0006109720220797564,1.0,0.14711510893940558,0.1492032849082373,1.0,0.005454855177013809,7.42598187686058e-05,1.0,0.20288282147582767,0.017879616812857147,0.37270810779524943,0.6059758938035308,0.011749973982200469,1.0,0.07587846513478176,1.0,1.0,0.20268519213596656,0.01595925518632363,1.0,1.0,0.36314524110078983
2827,F,0.36744912837739296,0.45056599143032666,0.12103908480911313,0.2958836538292287,0.229986517422558,1.0,0.0034275921165379713,1.0,1.0,0.00382327474727015,1.0,0.5371839402066754,0.009517587143164861,1.0,1.0,0.001406843471894176,1.0,0.1440197930307956,0.03539771810322977,1.0,0.20658232473437277,0.06786923675942894,1.0,0.38211232056012456,0.0001067937339677806,0.09862597589318735,0.8382264614020981,0.010071406270457545,1.0,0.037440326769903456,1.0,1.0,0.1526834757435929,0.018786870970086675,1.0,1.0,0.07264487705889157
2815,F,0.3658893867641886,0.4490794209726981,0.14418349567885524,0.3581179717638467,0.35728504812482337,1.0,0.004712939160239711,1.0,1.0,0.004947767319996663,1.0,0.5450093037635217,0.018810937940024794,1.0,1.0,0.00015274300551993908,1.0,0.07276912494581156,0.10543191306015749,1.0,0.016476337272212663,0.0003252857158537327,1.0,0.19277829341177072,0.04094874695177159,0.46007292253672843,0.7607139110292759,0.010071406270457545,1.0,0.13396776607293437,1.0,1.0,0.3597822482778301,0.018962598504670816,1.0,1.0,0.18815880134326846
2814,F,0.36575940829642156,0.44894427820382277,0.07367615953783198,0.3392279385265646,0.3355144473254786,1.0,0.006426735218508696,1.0,1.0,0.008321245038176208,1.0,0.5325305776854505,0.0262605676672664,1.0,1.0,0.0008280278720291433,1.0,0.1252726910182711,0.08640088182186191,1.0,0.03385412385617699,0.00031406052350793835,1.0,0.36400160894963934,0.025439055383328378,0.40758138103924935,0.7635368989749528,0.026857083387886782,1.0,0.5457571074599089,1.0,1.0,0.6403935404798441,0.0130198127896434,1.0,1.0,0.24694509548403057
2811,F,0.3653694728931205,0.44853884989719683,0.14940593720268916,0.340396047443499,0.3834142685419849,1.0,0.0049271636675233335,1.0,1.0,0.0044979702909060575,1.0,0.24761929597448926,0.10344770109534165,1.0,1.0,0.03337032715332985,1.0,0.18776303106001938,0.17165990176942608,1.0,0.012394306866583459,0.0001874990287958933,1.0,0.15228012136764355,0.02802055594797381,0.41775275240208265,0.7700345559753413,0.015107109405686315,1.0,0.12798518488758573,1.0,1.0,0.3258316298295945,0.020639997698428555,1.0,1.0,0.18930250356390585
2810,F,0.3652394944253535,0.03256940729895283,0.21140497115681287,0.9517640722090147,0.40844581349457737,1.0,0.45736932305053557,1.0,1.0,0.4797085315251311,1.0,0.1758334079547803,0.034906124574800974,1.0,1.0,0.31190925637726935,1.0,0.17795146365159537,0.1096187399325825,1.0,0.051017545529125706,0.0005183680033482654,1.0,0.19389306801218262,0.0003705245119288738,0.13713188176677063,0.7886471375154818,0.013428541693943393,1.0,0.06812438242052887,1.0,1.0,0.28216736221422484,0.03131145161681112,1.0,1.0,0.11301299063850907
2797,F,0.36354977434438207,0.44691713667069294,0.004015849139465661,0.3703791353995049,0.505814785805054,1.0,0.009211653813195799,1.0,1.0,0.0040481732618154525,1.0,0.5329902650068569,0.027743019067837892,1.0,1.0,0.0057479604708819175,1.0,0.2671900053186901,0.20705761987265586,1.0,0.10482313819404472,0.009602000253860333,1.0,0.3312528558124882,0.000660374965736628,0.1594725724387081,0.8299584560289973,0.011749973982200469,1.0,0.08935500501566958,1.0,1.0,0.27397206014991465,0.013770648619230195,1.0,1.0,0.111530752560563
2791,F,0.3627699035377799,0.446106280057441,0.07759740347750615,0.33414958539274986,0.32088956257125545,1.0,0.0068551842330759425,1.0,1.0,0.01012043315453863,1.0,0.5334879067290875,0.0627488042409966,1.0,1.0,0.0022268322383696385,1.0,0.16965835310399885,0.34293918291408626,1.0,0.020733311838083118,0.0007098378206830073,1.0,0.4972932022737325,0.01157282372235172,0.2820739236871454,0.7679866935333927,0.06378557304623111,1.0,0.6862498458466179,1.0,1.0,0.334072199385169,0.07277036959433573,0.9841337008294401,1.0,0.37934833703467713
2787,F,0.3622499896667118,0.44570085175081503,0.07785736855245376,0.33492618605672364,0.37239631875674245,1.0,0.4282347900599628,1.0,1.0,0.47521056123422506,1.0,0.24747025091738112,0.09688255917852505,1.0,1.0,0.05736705723106764,1.0,0.24949414267135392,0.20096768987640126,1.0,0.027264560487089844,0.0004600371156006359,1.0,0.26513776301066155,0.0653678656605443,0.5180134129785825,0.8498820523100116,0.010071406270457545,1.0,0.27799618390065806,1.0,1.0,0.5631841756921482,0.05738302765693141,1.0,1.0,0.1723757106984724
2780,F,0.3613401403923426,0.4447548523686878,0.040745113971802395,0.33761040071587883,0.26923725905299783,1.0,0.010454155955440813,1.0,1.0,0.011199946024356085,1.0,0.5447105154801088,0.040287796886119324,1.0,1.0,0.0004743072276671793,1.0,0.08777848699322213,0.12294046179938942,1.0,0.028255910728456936,0.0006086000376607941,1.0,0.2738012558438279,0.006500338445443801,0.24130758793014428,0.8484466347105147,0.4632846884410471,1.0,0.19474665171636268,1.0,1.0,0.34172429155430745,0.02015435069375965,1.0,1.0,0.16597097826290302
2777,F,0.36095020498904146,0.032163978992326855,0.03549213672252919,0.9399429223720728,0.38872767014282045,1.0,0.014781491002570004,1.0,1.0,0.010795128698174538,1.0,0.17261287851443452,0.017216368366300836,1.0,1.0,0.05787352088094956,1.0,0.19868424002058663,0.07307915995505501,1.0,0.08570582351008156,0.0003066820983817546,1.0,0.44221039817226165,0.0025872698430808587,0.22722117098043715,0.7139480056376731,0.018464244829172163,1.0,0.08735742072388956,1.0,1.0,0.3055744274888139,0.014665261522567658,1.0,1.0,0.1767217791368945
2776,F,0.36082022652127443,0.4443494240620618,0.21315832953333405,0.33667673434268447,0.3178248249497808,1.0,0.006212510711225073,1.0,1.0,0.00697185395090439,1.0,0.5447367334692765,0.026198279793292808,1.0,1.0,0.0004662681221134983,1.0,0.06517684064167392,0.0597574380882481,1.0,0.008137332300713,0.00011848757172287235,1.0,0.18861272736311369,0.0032545936741754733,0.2410251749728538,0.6015930853997341,0.010071406270457545,1.0,0.07062485506548428,1.0,1.0,0.27749915217759247,0.05153609332440443,1.0,1.0,0.25563723236087477
2775,F,0.3606902480535074,0.44421428129318646,0.08835901024761023,0.3144446484142645,0.29299846126660295,1.0,0.005141388174806957,1.0,1.0,0.0060722598927231775,1.0,0.24784163673103304,0.1250740509389728,1.0,1.0,0.020933830861785335,1.0,0.10062696812330121,0.1457776992853441,1.0,0.0021309161324300284,8.176705688959982e-05,1.0,0.1709846268014234,0.013009246040981862,0.34364704675858276,0.6003777651654936,0.010071406270457545,1.0,0.08065197143648462,1.0,1.0,0.20388289450900152,0.007188853687533166,1.0,1.0,0.5038206142391892
2772,F,0.36030031265020634,0.44380885298656053,0.08897855365346055,0.3221548628256532,0.29107557047719124,1.0,0.0034275921165379713,1.0,1.0,0.0044979702909060575,1.0,0.5431965904757237,0.034059009488760124,1.0,1.0,0.0009084189275659532,1.0,0.1721112449561049,0.23027547798337644,1.0,0.017001169752936418,0.0002497463350893176,1.0,0.08836558752364851,0.010284850065181981,0.3236675672958745,0.7504363210168794,0.010071406270457545,1.0,0.04566122224349552,1.0,1.0,0.28084706038568236,0.020240616938010048,1.0,1.0,0.08865670814781511
2768,F,0.3597803987791382,0.4432682819110592,0.06600760276026849,0.33221261043483125,0.35316837223606107,1.0,0.0025706940874034787,1.0,1.0,0.0029236806890889384,1.0,0.5342289047481636,0.03960263027240982,1.0,1.0,0.001318413310803685,1.0,0.1562258501043707,0.07536288370365049,1.0,0.12225923949808946,0.000712707790990832,1.0,0.4131001678764709,0.0028777918148809047,0.233578278082208,0.8461882443539734,0.016785677117429242,1.0,0.13494967321343865,1.0,1.0,0.2993312859852773,0.018786870970086675,1.0,1.0,0.14927292584159702
2765,F,0.35939046337583713,0.44299799637330856,0.06616511410575798,0.33294881021375744,0.36741136146725806,1.0,0.0068551842330759425,1.0,1.0,0.008096346523630905,1.0,0.5333907991879763,0.029549367413072063,1.0,1.0,0.0004582290165598173,1.0,0.08310631203682974,0.06698922995880043,1.0,0.01805083471438393,0.00017193405532526992,1.0,0.12454114529068178,0.004788023097601588,0.26609034011697874,0.7154121315891597,0.010071406270457545,1.0,0.05966329944060627,1.0,1.0,0.30631002422185905,0.02078377477217922,1.0,1.0,0.11724926366374995
2763,F,0.3591305064403031,0.44272771083555795,0.09385289817344597,0.3549729683312039,0.28318209587115634,1.0,0.003213367609254348,1.0,1.0,0.00382327474727015,1.0,0.5445712572751311,0.019284325782224096,1.0,1.0,0.00016078211107362008,1.0,0.05349640325069292,0.0662279887092686,1.0,0.01385217486859389,0.048994566536156255,1.0,0.33261243891134207,0.09097485899962188,0.5630580575854158,0.7533645729198528,0.010071406270457545,1.0,0.10907994624701493,1.0,1.0,0.2878257986222641,0.020879626154679663,1.0,1.0,0.20988914353537894
2761,F,0.358870549504769,0.4424574252978073,0.09426552053011011,0.3616005358452166,0.3308807137167151,1.0,0.0014995715509853623,1.0,1.0,0.0033734777181795433,1.0,0.5451543152219194,0.05715535315816805,1.0,1.0,0.0008360669775828243,1.0,0.1193156679488708,0.18460100301146706,1.0,0.011111383024814278,0.00028773442014187934,1.0,0.14014133756757563,0.01950929149600347,0.38106316284329106,0.764867052617153,0.010071406270457545,1.0,0.0988776055630959,1.0,1.0,0.3120627679033656,0.021023403228430326,1.0,1.0,0.16871586359243274
2758,F,0.3584806141014679,0.4420519969911813,0.0665944082986705,0.32676494852893145,0.29219641101184957,1.0,0.002784918594687102,1.0,1.0,0.0033734777181795433,1.0,0.5425666573442743,0.032078255096399895,1.0,1.0,0.00520934039878529,1.0,0.2333751390718002,0.3368492529178317,1.0,0.06837643814378398,0.0010163959648793325,1.0,0.2723775839633564,0.009742065689617491,0.29991014989839954,0.8111066382222736,0.015107109405686315,1.0,0.2054082916712806,1.0,1.0,0.3348662666277639,0.022080963482018538,1.0,1.0,0.1691733444806877
2755,F,0.35809067869816685,0.03189369345457621,0.07927468605546066,0.020158427940425442,0.2264204897567718,1.0,0.24228791773777783,1.0,1.0,0.25413532143619233,1.0,0.17504638511635334,0.018337550097825495,1.0,1.0,0.09002994309567354,1.0,0.17865228989505424,0.06242178246160949,1.0,0.22873258800971843,0.14017402671930893,1.0,0.5818051833340979,0.002148674762475356,0.2166865363546455,0.7077278627065208,0.010071406270457545,1.0,0.038808486885014926,1.0,1.0,0.24878258740679313,0.008402971199205436,1.0,1.0,0.13897960585586047
2754,F,0.3579607002303998,0.4416465686845554,0.09706037925079354,0.37369469283354567,0.30292338126609397,1.0,0.6493144815766619,1.0,1.0,0.6814424990722677,1.0,0.5447490291409829,0.04007601811460911,1.0,1.0,0.001575664688521477,1.0,0.23752169434559842,0.2359847873548651,1.0,0.03496210353770492,0.00035313785460130607,1.0,0.210347915519691,0.005216347570530364,0.2720841839557912,0.7757666569226648,0.010071406270457545,1.0,0.10968902704370066,1.0,1.0,0.2494427383210644,0.04580098560479464,1.0,1.0,0.1483579640650871
2744,F,0.3566609155527295,0.03175855068570089,0.028180922082736686,0.19638597005813838,0.14153664398555843,1.0,0.011568123393315656,1.0,1.0,0.014393504930899385,1.0,0.8786478751908033,0.12881132337738832,1.0,1.0,0.022027149217085953,1.0,0.19553052192502174,0.3981291735051435,1.0,0.013508118020119428,0.017427746336940563,1.0,0.22860228428411544,0.0005658650260806796,0.15329709696841645,0.5095349700186785,0.010071406270457545,1.0,0.08055513694776636,1.0,1.0,0.4763460382834391,0.02461783007219691,1.0,1.0,0.3071038322895575
2742,F,0.35640095861719545,0.4401599982269268,0.0743237702168396,0.37131018090404594,0.23832114154427045,1.0,0.007069408740359566,1.0,1.0,0.007421650979994996,1.0,0.5518883390739326,0.027767934217427327,1.0,1.0,0.0028699606826641183,1.0,0.25171342577564026,0.22114058298899456,1.0,0.020558367677841867,0.000300975305083988,1.0,0.20899685029085413,0.014579965062010267,0.3538184181214161,0.5656406592576732,0.010071406270457545,1.0,0.06080130811684541,1.0,1.0,0.49643348753197847,0.03688680703225351,1.0,1.0,0.16757216137179534
2741,F,0.35627098014942843,0.4400248554580515,0.20951939989428184,0.3068980296258217,0.38876976333180985,1.0,0.006426735218508696,1.0,1.0,0.009445737610902723,1.0,0.5249632078230989,0.024678455668337162,1.0,1.0,0.03074957874282984,1.0,0.11683307274447952,0.1375941655425646,1.0,0.008290556327637366,0.0044367892345638735,1.0,0.12558634527357476,0.027931033458929996,0.3816737878276233,0.6125118286065723,0.02014281254091509,1.0,0.08147642081592182,1.0,1.0,0.4931327329606222,0.024259186149341087,1.0,1.0,0.181508172930262
2732,F,0.3551011739395251,0.031623407916825566,0.021275681699072884,0.05908798459197915,0.2850940891760554,1.0,0.0017137960582689856,1.0,1.0,0.0024738836599983317,1.0,0.17273081437086682,0.04898318409283277,1.0,1.0,0.032148383109170335,1.0,0.15283852326098624,0.2736662292066903,1.0,0.027998976071782616,0.0011655085449955216,1.0,0.16207116724429912,0.028346253479252268,0.41902417382243684,0.7396515501193276,0.010071406270457545,1.0,0.06321118490961064,1.0,1.0,0.28924040772427395,0.01131046313505218,1.0,1.0,0.1138181570018378
2833,F,0.36822899918399515,0.45124170527470325,0.1057251387230564,0.6795492939956828,0.20339900395623828,1.0,0.030634104541558124,1.0,1.0,0.023389445512711503,1.0,0.29169330812577554,0.06821767957587799,1.0,1.0,0.10676736085843741,1.0,0.1134754492533803,0.13512032179189856,1.0,0.079281290798822,0.0023015006957422465,1.0,0.44577250715255945,0.001215564336131798,0.18689894879206223,0.7104551561455644,0.2736065370140966,1.0,0.9716132179923396,1.0,0.6219347899753019,0.10461505845729935,0.02889919182388333,1.0,1.0,0.289327329381908
2729,F,0.35471123853622405,0.43867342776929824,0.06687165558894628,0.3290375031817757,0.30319808077268523,1.0,0.005141388174806957,1.0,1.0,0.005172665834541967,1.0,0.5337384222814379,0.062138383076055397,1.0,1.0,0.0022107540272622763,1.0,0.24231067367590062,0.22837237485954687,1.0,0.012161047986261789,0.00014850855206710446,1.0,0.13226517439279975,0.01298234010122335,0.3434654151271036,0.7106082673561774,0.010071406270457545,1.0,0.06571464125029686,1.0,1.0,0.20666495907628749,0.0457051342222942,1.0,1.0,0.16871586359243274
2861,F,0.37186839628147195,0.4547554172654617,0.14446385839274406,0.6488057952214501,0.1832725071634308,1.0,0.0038560411311052184,1.0,1.0,0.0044979702909060575,1.0,0.29235674976082465,0.1703448777429795,1.0,1.0,0.16135288756793148,1.0,0.2605321560058309,0.14958390553300321,1.0,0.019800276316796445,0.0572272693738504,1.0,0.2748854414625675,0.1168701302646835,0.5999292787756866,0.78664712232685,0.010071406270457545,1.0,0.07069836247848889,1.0,1.0,0.265757896630911,0.020000988481758943,1.0,1.0,0.14584181917968483
2863,F,0.37212835321700605,0.4550257028032123,0.14336468815239203,0.376178909061411,0.08280083737259065,1.0,0.004712939160239711,1.0,1.0,0.00697185395090439,1.0,0.29063012912450564,0.0381077212970436,1.0,1.0,0.022388908967001596,1.0,0.18869746605129786,0.11380556680500753,1.0,0.06487755493895894,0.00045853080077533023,1.0,0.16415784064195263,0.001886053571903884,0.20942127109547884,0.8558055422706015,0.010071406270457545,1.0,0.05180288866030984,1.0,1.0,0.18870885420810957,0.018786870970086675,1.0,1.0,0.08065079260335334
